index,close,returns,mfi,normal_close,normal_returns,normal_mfi
14,57.665096,0.008415055946122766,43.59318935108161,-0.9451423292735024,-0.002145112870112015,-0.38685981994322893
15,57.911449,0.004263034045366246,48.62964370863949,-0.9365500975852532,-0.06659403739551092,-0.2138537022938256
16,57.229248,-0.01185000613675994,48.5492734729576,-0.9603437150770451,-0.31670546151477097,-0.21661448229156854
17,57.352421,0.0021499607837888427,50.73602779742019,-0.9560477213049507,-0.09939379192648459,-0.14149777337895975
18,57.428230000000006,0.0013209371154917894,49.486093002717446,-0.9534036760038807,-0.11226214500962005,-0.1844340040671062
19,57.883026,0.007888186704809749,49.44770951337839,-0.9375414271053932,-0.010323334656935898,-0.18575250672809474
20,57.096596,-0.013679680803308867,51.201017874616845,-0.9649703147852267,-0.3451062183770988,-0.12552500319380577
21,56.092239,-0.01774703946141358,54.17025324698272,-1.0,-0.40824097475354176,-0.023529462741934237
22,56.139614,0.0008442345296357715,56.00463003127264,-0.9983476678740231,-0.11966166498115466,0.03948280406833837
23,57.058707999999996,0.016239007454768403,65.1496718612421,-0.9662917619533327,0.11930060016411048,0.35362209143628265
24,56.802868000000004,-0.004493885286768816,57.78399866218843,-0.9752148785994528,-0.2025215557472198,0.10060549810008634
25,58.148327,0.023410290719347155,58.29413280967917,-0.9282883323221989,0.23061540170330286,0.11812900215116962
26,57.807224,-0.005883357561865904,56.95735308988477,-0.9401852282624028,-0.22408935956144105,0.07220958085689477
27,58.716834999999996,0.01561273242224307,56.97741763749098,-0.9084600677886914,0.10957937198465106,0.07289881364593676
28,58.906326,0.003222004277378608,57.104145186179444,-0.90185105318429,-0.08275321250330697,0.07725200333878401
29,59.67381700000001,0.012944860714245467,58.79046296814539,-0.8750827146998947,0.06816787020021783,0.13517832846139344
30,59.389561,-0.004774877797829011,66.01189664656306,-0.8849969167220948,-0.2068832054615966,0.3832401822714786
31,59.29480699999999,-0.0015967396840651335,62.47606557769156,-0.8883017204849408,-0.1575511960644542,0.261781639721276
32,59.029503000000005,-0.004484360730163968,53.715052622139034,-0.8975549199013035,-0.20237371273375887,-0.03916595763791375
33,60.280209,0.020966471136152943,55.204846084595914,-0.853933142509173,0.1926817039445608,0.012009604521673323
34,60.204411,-0.001258218849837293,62.9056969849933,-0.8565768041552899,-0.15229657452899217,0.27653981214191603
35,60.204411,0.0,65.47724576399585,-0.8565768041552899,-0.13276612559884016,0.36487450933492704
36,60.213885999999995,0.00015736811191664887,71.7358342022281,-0.8562463377300951,-0.13032341074568085,0.5798618815602219
37,59.920162,-0.004889947357532345,67.54267755693638,-0.8664907620334295,-0.20866934954892424,0.4358236950909862
38,59.958057,0.0006322249626054017,72.20925900369969,-0.8651690707212625,-0.12295254082689941,0.5961243910732144
39,59.683289,-0.0045932028059361245,66.69644767773156,-0.8747523529078682,-0.204063191954798,0.40675504169984533
40,59.598006999999996,-0.0014299310519122563,62.57043947382269,-0.8777267948786878,-0.15496194263545687,0.26502345632834867
41,58.877903,-0.01215627493825692,54.73782026592613,-0.9028423827044301,-0.3214594573616057,-0.004033094963698636
42,59.29480699999999,0.007055871522963941,54.82503556198306,-0.8883017204849408,-0.02324277959684584,-0.001037181827345135
43,59.029503000000005,-0.004484360730163968,46.0749320750189,-0.8975549199013035,-0.20237371273375887,-0.30161003047005774
44,59.029503000000005,0.0,37.16868468426247,-0.8975549199013035,-0.13276612559884016,-0.6075465434432499
45,59.541157,0.008630417943819963,44.65368445322099,-0.8797095934298604,0.0011978004061153347,-0.3504309897817848
46,59.35165799999999,-0.0031877310747196095,55.33010569179857,-0.8863188870560457,-0.18224703980221646,0.01631236928472557
47,59.33270600000001,-0.0003193681041433153,45.6675227493466,-0.8869798896618817,-0.1377234527352895,-0.3156048571327781
48,59.872780000000006,0.009061289265069706,44.68385582618578,-0.8681433383034669,0.00788591379451628,-0.3493945796944071
49,59.323235,-0.009220927289770415,44.06924519656371,-0.8873102165761857,-0.27589611410981685,-0.37050693202564666
50,59.408504,0.001436330594963956,36.00761371380284,-0.8843362280157647,-0.11047097294285668,-0.6474302327718764
51,59.247429000000004,-0.0027149944359362976,34.933099592651686,-0.8899541572440866,-0.174909080446129,-0.6843406271211983
52,59.219009,-0.0004797983466880402,36.7277563616413,-0.8909453821310578,-0.14021369889499122,-0.6226927736764059
53,59.029503000000005,-0.003205218552595747,42.77963449448251,-0.8975549199013035,-0.18251848565889017,-0.4148060609379107
54,59.446411,0.0070378814861565,49.965123176642464,-0.8830141181709226,-0.02352202632341073,-0.1679789456581442
55,59.654854,0.0035002686632789946,58.08547125887495,-0.8757441009606843,-0.07843390956279675,0.11096131586941671
56,60.185467,0.008855391291233139,58.68096545113252,-0.8572375277393429,0.004689903924407546,0.131417003734561
57,60.337063,0.002515647156555476,65.99101310974049,-0.8519502044471086,-0.09371749878503718,0.38252281656696496
58,60.896083999999995,0.009222312147093265,75.63419456791716,-0.832452824871472,0.010385359081283102,0.7137735869356678
59,62.32682,0.02322296023446671,77.49119063882553,-0.7825520110120134,0.22770760194454764,0.7775628438036346
60,61.710941000000005,-0.009930589787359756,69.25816257224048,-0.8040324681606061,-0.2869117074373251,0.4947519373251512
61,61.256142000000004,-0.007397119012441065,67.86816721288477,-0.8198948216922624,-0.2475864170937727,0.44700451749358905
62,60.242309999999996,-0.016689192578428016,59.0998901510581,-0.8552549733322317,-0.3918207593619652,0.14580739244379348
63,59.853832,-0.006469472682112585,55.5343748146606,-0.8688042013984121,-0.23318721358313846,0.023329172256240094
