Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,108.599998,108.599998,106.019997,106.239998,98.603050,2564600
2016-11-02,106.279999,106.589996,105.349998,105.620003,98.027641,1718600
2016-11-03,106.019997,106.470001,105.529999,105.720001,98.120453,1691100
2016-11-04,106.070000,106.070000,104.570000,104.669998,97.145912,1864900
2016-11-07,106.220001,106.220001,104.919998,105.360001,97.786324,1804200
2016-11-08,105.430000,108.160004,105.160004,108.010002,100.245834,2082600
2016-11-09,103.449997,107.519997,103.449997,106.940002,99.252747,3662200
2016-11-10,107.300003,109.790001,106.639999,109.620003,101.740105,2748900
2016-11-11,109.480003,110.580002,109.099998,110.279999,102.352638,1962300
2016-11-14,110.769997,112.250000,110.650002,112.180000,104.116066,3220100
2016-11-15,111.980003,112.029999,111.360001,111.849998,103.809784,1823900
2016-11-16,111.449997,111.559998,110.699997,111.349998,103.345734,1717300
2016-11-17,110.970001,111.480003,110.400002,111.180000,103.187958,1505600
2016-11-18,111.250000,112.120003,110.820000,111.820000,103.781952,1718000
2016-11-21,112.010002,112.339996,111.250000,111.839996,103.800507,1388200
2016-11-22,111.940002,112.620003,111.830002,112.400002,104.320259,1647700
2016-11-23,112.669998,113.230003,112.440002,113.070000,104.942085,1004600
2016-11-25,113.470001,113.879997,113.099998,113.449997,105.294785,686300
2016-11-28,113.349998,114.239998,113.349998,113.809998,105.628891,1467300
2016-11-29,113.900002,114.120003,113.500000,113.699997,105.526794,1783400
2016-11-30,113.610001,114.010002,113.180000,113.349998,105.201958,2756400
2016-12-01,114.220001,115.519997,113.849998,115.410004,107.113899,2347500
2016-12-02,114.949997,115.959999,114.860001,115.650002,107.336624,1885300
2016-12-05,116.050003,116.129997,114.800003,115.870003,107.540817,2041500
2016-12-06,116.389999,116.870003,115.800003,116.830002,108.431816,1785800
2016-12-07,116.480003,118.360001,116.220001,117.989998,110.140053,2316800
2016-12-08,118.379997,119.260002,118.169998,118.379997,110.504120,2046200
2016-12-09,118.699997,119.190002,117.870003,119.190002,111.260239,2138800
2016-12-12,119.870003,120.989998,119.559998,120.910004,112.865784,1890900
2016-12-13,121.080002,122.470001,120.940002,121.430000,113.351189,2383700
2016-12-14,121.339996,121.440002,119.889999,120.370003,112.361725,2393500
2016-12-15,120.930000,121.709999,120.199997,120.400002,112.389725,1856400
2016-12-16,121.040001,121.930000,120.599998,121.599998,113.509880,3222000
2016-12-19,121.610001,122.199997,121.379997,121.750000,113.649902,1399800
2016-12-20,122.150002,122.820000,121.860001,122.440002,114.293991,1132700
2016-12-21,121.940002,123.089996,121.940002,122.570000,114.415352,1575300
2016-12-22,122.250000,122.870003,121.620003,122.120003,113.995300,1443100
2016-12-23,122.129997,122.440002,121.680000,122.120003,113.995300,885300
2016-12-27,122.269997,122.269997,121.650002,121.980003,113.864616,607600
2016-12-28,122.400002,122.769997,121.970001,122.080002,113.957954,867600
2016-12-29,122.070000,122.599998,121.910004,122.290001,114.153984,767800
2016-12-30,122.790001,122.839996,122.050003,122.419998,114.275330,1014300
2017-01-03,123.070000,123.070000,120.260002,120.900002,112.856453,1955400
2017-01-04,120.870003,121.739998,120.220001,120.250000,112.249695,1780200
2017-01-05,119.290001,119.500000,117.279999,118.330002,110.457451,2696500
2017-01-06,117.830002,118.709999,117.620003,118.269997,110.401428,1532300
2017-01-09,118.150002,118.250000,117.300003,117.320000,109.514641,1526200
2017-01-10,116.690002,117.720001,116.449997,117.180000,109.383942,1758800
2017-01-11,117.220001,118.150002,117.190002,117.650002,109.822678,1433600
