Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,153.500000,153.910004,151.740005,152.789993,133.072357,3191900
2016-11-02,152.479996,153.350006,151.669998,151.949997,132.340775,3074400
2016-11-03,152.509995,153.740005,151.800003,152.369995,132.706558,2878800
2016-11-04,152.399994,153.639999,151.869995,152.429993,132.758850,2470400
2016-11-07,153.990005,156.110001,153.839996,155.720001,135.624283,3804900
2016-11-08,154.559998,155.929993,153.059998,155.169998,136.371292,3921900
2016-11-09,152.960007,155.559998,151.000000,154.809998,136.054886,5403700
2016-11-10,157.660004,161.160004,157.589996,160.220001,140.809479,7715800
2016-11-11,159.970001,161.339996,159.330002,161.270004,141.732315,4446600
2016-11-14,161.250000,161.860001,157.580002,158.210007,139.042984,5196500
2016-11-15,158.419998,159.149994,157.550003,158.669998,139.447250,3477000
2016-11-16,158.460007,159.550003,158.029999,159.289993,139.992111,2252800
2016-11-17,159.220001,159.929993,158.850006,159.800003,140.440353,2261200
2016-11-18,159.800003,160.720001,159.210007,160.389999,140.958908,2981600
2016-11-21,160.690002,163.000000,160.369995,162.770004,143.050552,4637100
2016-11-22,163.000000,163.000000,161.949997,162.669998,142.962662,2770800
2016-11-23,161.940002,162.380005,161.360001,161.979996,142.356247,2252700
2016-11-25,161.830002,163.190002,161.830002,163.139999,143.375748,1605300
2016-11-28,163.199997,164.660004,162.699997,164.520004,144.588531,4449400
2016-11-29,164.000000,164.410004,163.029999,163.529999,143.718475,3148200
2016-11-30,163.350006,163.800003,162.210007,162.220001,142.567184,4397800
2016-12-01,161.949997,162.199997,158.300003,159.820007,140.457947,4635700
2016-12-02,159.000000,160.289993,158.410004,160.020004,140.633728,2740900
2016-12-05,160.850006,161.149994,159.589996,159.839996,140.475540,3447100
2016-12-06,160.130005,160.789993,158.929993,160.350006,140.923737,2859000
2016-12-07,160.600006,165.179993,160.389999,164.789993,144.825836,4435100
2016-12-08,164.869995,166.000000,164.220001,165.360001,145.326752,3266400
2016-12-09,165.179993,166.720001,164.600006,166.520004,146.346252,3146900
2016-12-12,166.720001,166.789993,165.070007,165.500000,145.449799,3392300
2016-12-13,165.679993,169.949997,165.679993,168.289993,147.901810,5932300
2016-12-14,168.369995,169.889999,167.449997,168.509995,148.095154,4124200
2016-12-15,168.009995,169.850006,167.779999,168.020004,147.664536,3388600
